id,name,x,y,simc,prng,kind,gmina,powiat
1199,Czyżew,499.159,557.176,0574422,21057,wieś,Sanniki-gmina miejsko-wiejska,gostyniński
1200,Czyżówka,410.267,638.342,0638100,21096,wieś,Stara Błotnica-gmina wiejska,białobrzeski
1201,Cząstków Mazowiecki,504.301,618.863,0001152,19783,wieś,Czosnów-gmina wiejska,nowodworski
1202,Cząstków Polski,503.980,619.676,0001169,170623,wieś,Czosnów-gmina wiejska,nowodworski
1203,Częstoniew,446.401,634.609,0622138,20698,wieś,Grójec-gmina miejsko-wiejska,grójecki
1204,Częstoniew-Kolonia,445.002,634.924,0622144,20699,wieś,Grójec-gmina miejsko-wiejska,grójecki
1205,Człekówka,467.376,667.583,0674632,20703,wieś,Kołbiel-gmina wiejska,otwocki
1206,Dachowa,483.557,580.872,0738220,21190,wieś,Sochaczew-gmina wiejska,sochaczewski
1207,Dalanówek,527.235,598.501,0122039,21231,wieś,Płońsk-gmina wiejska,płoński
1208,Dalboszek,431.788,619.761,0629212,21235,wieś,Mogielnica-gmina miejsko-wiejska,grójecki
1209,Dalekie,539.783,669.664,0506596,45289,osada leśna,Brańszczyk-gmina wiejska,wyszkowski
1210,Dalekie,542.376,671.693,0509293,21249,wieś,Długosiodło-gmina wiejska,wyszkowski
1211,Dalekie,558.816,683.239,0522477,21250,wieś,Wąsewo-gmina wiejska,ostrowski
1212,Dalekie-Tartak,538.024,668.327,0506550,21256,osada,Brańszczyk-gmina wiejska,wyszkowski
1213,Dalnia,567.549,587.571,0126600,21313,wieś,Strzegowo-gmina wiejska,mławski
1214,Daltrozów,432.244,635.680,0632728,21339,wieś,Promna-gmina wiejska,białobrzeski
1215,Damiany,564.971,684.140,0508164,21353,wieś,Czerwin-gmina wiejska,ostrołęcki
1216,Damianów,430.276,690.338,0692386,21351,wieś,Trojanów-gmina wiejska,garwoliński
1217,Damięty,570.645,674.538,0510020,21358,wieś,Goworowo-gmina wiejska,ostrołęcki
1218,Damięty-Narwoty,548.588,612.273,0126132,21359,wieś,Sońsk-gmina wiejska,ciechanowski
1219,Daniszewo,575.824,676.237,0519386,21422,wieś,Rzekuń-gmina wiejska,ostrołęcki
1220,Daniszewo,524.704,577.273,0561402,21421,wieś,Bulkowo-gmina wiejska,płocki
1221,Daniszów,363.853,684.220,0627970,21424,wieś,Lipsko-gmina miejsko-wiejska,lipski
1222,Daniłowo,562.907,670.270,0510043,21405,wieś,Goworowo-gmina wiejska,ostrołęcki
1223,Daniłowo,546.645,704.718,0514207,21407,wieś,Małkinia Górna-gmina miejsko-wiejska,ostrowski
1224,Daniłowo-Parcele,548.044,703.436,0514213,21408,wieś,Małkinia Górna-gmina miejsko-wiejska,ostrowski
1225,Daniłówka Druga,546.759,702.750,0514220,21411,wieś,Małkinia Górna-gmina miejsko-wiejska,ostrowski
1226,Daniłówka Pierwsza,545.152,704.930,0514236,21412,wieś,Małkinia Górna-gmina miejsko-wiejska,ostrowski
1227,Daszew,446.542,617.004,0631367,21546,wieś,Pniewy-gmina wiejska,grójecki
1228,Daszewice,441.968,620.447,0614297,21548,wieś,Belsk Duży-gmina wiejska,grójecki
1229,Dawia,609.310,673.716,0513426,21571,wieś,Łyse-gmina wiejska,ostrołęcki
1230,Dawidy,476.167,635.184,0007930,21583,wieś,Raszyn-gmina wiejska,pruszkowski
1231,Dawidy,482.025,747.172,0016633,21584,wieś,Olszanka-gmina wiejska,łosicki
1232,Dawidy Bankowe,474.858,635.472,0007947,21586,wieś,Raszyn-gmina wiejska,pruszkowski
1233,Dawidów,397.553,657.421,0625378,21579,wieś,Jedlnia-Letnisko-gmina miejsko-wiejska,radomski
1234,Daćbogi,467.475,723.704,0694439,21195,wieś,Wiśniew-gmina wiejska,siedlecki
1235,Dańków,431.159,616.813,0614831,21470,wieś,Błędów-gmina wiejska,grójecki
1236,Decie,505.667,694.702,0675436,22752,wieś,Korytnica-gmina wiejska,węgrowski
1237,Derlatka,433.356,697.272,0692392,22852,wieś,Trojanów-gmina wiejska,garwoliński
1238,Deskurów,523.747,665.066,0522804,22860,wieś,Wyszków-gmina miejsko-wiejska,wyszkowski
1239,Desno,487.479,664.524,0002714,22863,wieś,Halinów-gmina miejsko-wiejska,miński
1240,Dmochy-Rogale,497.960,717.666,0668318,24355,wieś,Bielany-gmina wiejska,sokołowski
1241,Dmochy-Rętki,497.982,717.152,0668293,24353,wieś,Bielany-gmina wiejska,sokołowski
1242,Dobaczewo,549.993,537.458,0571286,24541,wieś,Mochowo-gmina wiejska,sierpecki
1243,Dobczyn,504.782,656.254,0511462,24552,wieś,Klembów-gmina wiejska,wołomiński
1244,Dobiecin,451.356,648.826,0616511,24559,wieś,Chynów-gmina wiejska,grójecki
1245,Dobiecin,430.947,614.385,0629241,24560,wieś,Mogielnica-gmina miejsko-wiejska,grójecki
1246,Dobiesz,461.657,644.824,0001726,24579,wieś,Góra Kalwaria-gmina miejsko-wiejska,piaseczyński
1247,Dobieszyn,419.938,651.163,0638671,24599,wieś,Stromiec-gmina wiejska,białobrzeski
1248,Dobki,491.529,566.015,0566144,24610,wieś,Iłów-gmina wiejska,sochaczewski
